Empresa	Medio de Acceso	Mes	Departamento	Conexiones		
TELEFÓNICA MULTIMEDIA S.A.C.		1994-12-01		"5,859"		
TELEFÓNICA MULTIMEDIA S.A.C.		1995-12-01		"19,060"		
TELEFÓNICA MULTIMEDIA S.A.C.		1996-12-01		"101,387"		
TELEFÓNICA MULTIMEDIA S.A.C.		1997-12-01		"252,225"		
TELEFÓNICA MULTIMEDIA S.A.C.		1998-12-01		"305,200"		
TELEFÓNICA MULTIMEDIA S.A.C.		1999-12-01		"327,344"		
TELEFÓNICA MULTIMEDIA S.A.C.		2000-12-01		"349,447"		
TELEFÓNICA MULTIMEDIA S.A.C.		2001-12-01		"341,720"		
		2001-12-01		"10,462"		
BOGA COMUNICACIONES S.A.		2002-03-01		"21,280"		
TELEFÓNICA MULTIMEDIA S.A.C.		2002-03-01		"298,097"		
BOGA COMUNICACIONES S.A.		2002-06-01		"21,761"		
TELEFÓNICA MULTIMEDIA S.A.C.		2002-06-01		"303,569"		
BOGA COMUNICACIONES S.A.		2002-09-01		"22,984"		
TELEFÓNICA MULTIMEDIA S.A.C.		2002-09-01		"305,780"		
BOGA COMUNICACIONES S.A.		2002-12-01		"20,763"		
TELEFÓNICA MULTIMEDIA S.A.C.		2002-12-01		"311,590"		
		2002-12-01		"26,968"		
BOGA COMUNICACIONES S.A.		2003-03-01		"21,921"		
Star Global Com S.A.C.		2003-03-01		"11,967"		
TELEFÓNICA MULTIMEDIA S.A.C.		2003-03-01		"314,186"		
BOGA COMUNICACIONES S.A.		2003-06-01		"24,526"		
Star Global Com S.A.C.		2003-06-01		"12,107"		
TELEFÓNICA MULTIMEDIA S.A.C.		2003-06-01		"323,020"		
BOGA COMUNICACIONES S.A.		2003-09-01		"24,292"		
Star Global Com S.A.C.		2003-09-01		"11,946"		
TELEFÓNICA MULTIMEDIA S.A.C.		2003-09-01		"330,203"		
BOGA COMUNICACIONES S.A.		2003-12-01		"13,799"		
Star Global Com S.A.C.		2003-12-01		"11,905"		
TELEFÓNICA MULTIMEDIA S.A.C.		2003-12-01		"339,739"		
		2003-12-01		"68,597"		
AMAZONIA T.V. S.R.LTDA		2004-01-01	SAN MARTÍN	574		
ANTENAS CABLE VISIÓN SATELITE S.A. 		2004-01-01	LIMA	"3,261"		
ASELEC INGENIEROS SRL		2004-01-01	LIMA	700		
ASOCIACIÓN COMUNITARIA TV. SATÉLITE VENTANILLA 		2004-01-01	LIMA	888		
BENJAMÍN SEGUNDO CARDENAS SALDAÑA 		2004-01-01	LIMA	783		
BOGA COMUNICACIONES S.A.		2004-01-01	LAMBAYEQUE	"4,501"		
BOGA COMUNICACIONES S.A.		2004-01-01	LIMA	"13,759"		
CABLE CLUB S.R.L.		2004-01-01	MOQUEGUA	494		
CABLE CLUB S.R.L.		2004-01-01	TACNA	301		
CABLE JAEN S.R.L.		2004-01-01	CAJAMARCA	921		
CABLE JUNIOR S.A.		2004-01-01	ICA	"1,616"		
"CABLE ORIENTE S.A. (ahora, CABLE ORIENTE PERUANO S.A.C.)"		2004-01-01	UCAYALI	452		
CABLE SISTEMAS S.R.L.		2004-01-01	APURÍMAC	115		
CABLE TELEVISIÓN PAIJAN E.I.R.L		2004-01-01	LA LIBERTAD	420		
CABLE VIDEO PERÚ S.A.C.		2004-01-01	LIMA	564		
CABLE VISIÓN CÁRDENAS E.I.R.L		2004-01-01	SAN MARTÍN	338		
CABLE VISIÓN CHACHAPOYAS E.I.R.L		2004-01-01	AMAZONAS	901		
CABLE VISIÓN DEL CENTRO S.R.L.		2004-01-01	AYACUCHO	"2,333"		
CABLE VISIÓN DEL NORTE S.A.C.		2004-01-01	LA LIBERTAD	"2,219"		
CABLE VISION HUANUCO S.A.C. 		2004-01-01	HUÁNUCO	"4,074"		
CABLE VISION HUANUCO S.A.C. 		2004-01-01	JUNÍN	765		
CABLE VISION TUMBES S.A.C		2004-01-01	TUMBES	"1,722"		
CABLE VISION ZARUMILLA S.A.C.		2004-01-01	TUMBES	"1,222"		
