longitud,latitud,tipo_lugar
-77.0263975,-12.169372099999999,mercados
-77.0256489,-12.118311499999999,mercados
-77.01384999999999,-12.147511,mercados
-77.0497768,-12.110382,mercados
-77.0059211,-12.1469376,mercados
-76.9881647,-12.1523729,mercados
-77.04474672917927,-12.115680614847024,mercados
-77.0207293,-12.2023996,mercados
-76.99664052652089,-12.085598101471863,mercados
-77.00522889999999,-12.1954557,mercados
-77.00525940772043,-12.195424318400752,mercados
-77.027396,-12.1158696,mercados
-77.0243862,-12.1112862,mercados
-77.03306599999999,-12.0864309,mercados
-77.00624079846571,-12.184834529739362,mercados
-77.0486674,-12.0667045,mercados
-77.01075836249615,-12.197268693415511,mercados
-77.02081054685799,-12.147108807600967,mercados
-77.0034534,-12.199691399999999,mercados
-77.0162441,-12.1141461,mercados
-77.02316159785215,-12.07972646594502,mercados
-77.0039766,-12.2032806,mercados
-77.0039745717577,-12.203283456304876,mercados
-76.99290909999999,-12.197559400000001,mercados
-76.9516273,-12.2051559,mercados
-76.95158246580345,-12.205129875172146,mercados
-76.9755401,-12.194647699999999,mercados
-77.021447,-12.168133899999999,mercados
-76.9502318,-12.217843199999999,mercados
-76.9240243,-12.229668499999999,mercados
-76.9417625,-12.233532199999999,mercados
-76.94191229754126,-12.233454572905616,mercados
-76.94785290689813,-12.219517238123263,mercados
-76.91975939999999,-12.244008899999999,mercados
-76.97055431255482,-12.20647076995299,mercados
-76.8965034,-12.248437,mercados
-76.86037619999999,-12.2291406,mercados
-76.8972458,-12.2508163,mercados
-76.89724032045572,-12.250825456848364,mercados
-76.87034129999999,-12.2766465,mercados
-76.92386846460694,-12.2413015381452,mercados
-76.9200819,-12.2386467,mercados
-76.9229585,-12.232281299999999,mercados
-76.92244189912816,-12.232311086198212,mercados
-76.9180805,-12.2366137,mercados
-76.91811822192419,-12.236551974872697,mercados
-76.929574,-12.241469,mercados
-76.89328666807488,-12.231829827297135,mercados
-76.87060790879097,-12.27662256460109,mercados
-76.8698749,-12.2768012,mercados
-76.86993553462466,-12.276733534169912,mercados
-76.8591708,-12.227180299999999,mercados
-76.8537218,-12.290391699999999,mercados
-76.8698098,-12.2776798,mercados
-76.86029061374276,-12.229196307214108,mercados
-76.8837435,-12.2241913,mercados
-76.88369204005342,-12.22424067311414,mercados
-77.0241918,-12.110257899999999,mercados
-77.0731148,-12.0908939,mercados
-77.09007065887378,-12.085894887963324,mercados
-77.0269367,-12.0897089,mercados
-77.0587927,-12.0786184,mercados
-77.07241771591012,-12.085894316354251,mercados
-77.0222166,-12.1690258,mercados
-77.0188489,-12.174956,mercados
-77.0140835,-12.147036799999999,mercados
-76.98696699999999,-12.190327199999999,mercados
-76.98692269181647,-12.190258829527457,mercados
-77.0209105,-12.194539299999999,mercados
-77.0126098,-12.199016799999999,mercados
-77.0146204,-12.188980299999999,mercados
-77.01557369999999,-12.190763599999999,mercados
-77.01562863704713,-12.190751036926613,mercados
-77.0177017,-12.188623000000002,mercados
-76.99833224011613,-12.183229911376923,mercados
-76.9785811,-12.200084799999999,mercados
-77.00751585642958,-12.184401667550581,mercados
-76.97584300558344,-12.189189910020293,mercados
-76.975557779939,-12.190721676291917,mercados
-76.92684849999999,-12.1885322,mercados
-76.9560504,-12.1920425,mercados
-76.94145827116067,-12.216297486103786,mercados
-76.90878459999999,-12.212825599999999,mercados
-76.90881223182063,-12.212826260207086,mercados
-76.9423628053986,-12.189971181361122,mercados
-76.95962979126345,-12.196053930311361,mercados
-76.9543614,-12.2100803,mercados
-76.9062920533199,-12.212519289392356,mercados
-76.90616637723667,-12.220208620941058,mercados
-76.9257445,-12.202589399999999,mercados
-76.94127644912457,-12.20584535624733,mercados
-76.92406684409292,-12.197474586294607,mercados
-76.93127441439273,-12.223489815001528,mercados
-76.92240079999999,-12.1900137,mercados
-76.95272039999999,-12.198793600000002,mercados
-76.94226139999999,-12.202447999999999,mercados
-76.8595019,-12.226826299999999,mercados
-76.9074837,-12.160224099999999,mercados
-76.9031548,-12.224492099999999,mercados
-76.9189159,-12.168293000000002,mercados
-77.1077638,-12.0772336,mercados
-77.134986601749,-12.051759484373628,mercados
-77.1039871,-12.067673000000001,mercados
-77.0964283,-12.0827037,mercados
-77.09875389999999,-12.0721338,mercados
-77.1030226,-12.079791,mercados
-77.1141049,-12.0709293,mercados
-77.13887079999999,-12.061520800000002,mercados
-77.12953929999999,-12.0663,mercados
-77.0974817,-12.0572239,mercados
-77.1071501,-12.0588759,mercados
-77.0964494,-12.042611599999999,mercados
-77.09459059999999,-12.0767765,mercados
-77.09322506816072,-12.016007481357951,mercados
-77.04471659767246,-12.115673725519411,mercados
-77.0718672,-12.0860112,mercados
-77.0718639667311,-12.086003486168376,mercados
-77.0497958,-12.078686,mercados
-77.042185,-12.086448299999999,mercados
-77.01698891531139,-12.116961873178724,mercados
-77.0209927,-12.1090207,mercados
-76.9978294,-12.1286081,mercados
-77.01561563256917,-12.142188803583872,mercados
-76.9881053,-12.1458332,mercados
-77.0195701,-12.1070453,mercados
-77.01956778736475,-12.107107207354874,mercados
-77.02792989660094,-12.11746799540628,mercados
-77.0168502,-12.1146747,mercados
-77.01686634063982,-12.114675817174852,mercados
-77.02179066952233,-12.12702519109293,mercados
-77.01336669999999,-12.145738099999999,mercados
-77.0030153,-12.112076499999999,mercados
-76.94062740907283,-12.133731705279272,mercados
-76.9406274,-12.1337317,mercados
-76.9490303,-12.1469366,mercados
-76.94469629349432,-12.14851313576583,mercados
-76.954882,-12.132209999999999,mercados
-76.94616348178353,-12.13718521858191,mercados
-76.9599624,-12.1313173,mercados
-76.9348354842262,-12.14710006261499,mercados
-76.9267328,-12.1462606,mercados
-76.94238821455504,-12.135975581612033,mercados
-76.95307389999999,-12.1534508,mercados
-76.9443417,-12.1432807,mercados
-76.93997168345523,-12.133535358874736,mercados
-76.9332821,-12.1282371,mercados
-76.9599351,-12.139553,mercados
-76.9499981,-12.1428058,mercados
-76.9412632,-12.096061200000001,mercados
-76.9467572,-12.102973299999999,mercados
-76.94666663680162,-12.102904493927289,mercados
-76.97049380000001,-12.152541,mercados
-76.943631,-12.1020486,mercados
-76.81938269999999,-12.112040499999999,mercados
-76.81945490195021,-12.11210290662049,mercados
-76.87272159999999,-12.1121102,mercados
-76.87086169999999,-12.1135342,mercados
-76.8400104,-12.1471681,mercados
-76.87192449530535,-12.110658893004768,mercados
-76.8814866125609,-12.092177349647233,mercados
-76.8201054,-12.1123593,mercados
-76.88961479684897,-12.086177890972767,mercados
-76.9496905,-12.0626275,mercados
-76.8810142,-12.089205600000001,mercados
-76.9053947,-12.027040099999999,mercados
-76.90540554608448,-12.026945948588446,mercados
-76.93608482367493,-12.178705778649809,mercados
-77.14285046388412,-12.0580795381584,mercados
-77.13878622816698,-12.06366501260971,mercados
-77.13444332411761,-12.050694067525292,mercados
-77.13789940200095,-12.061378821543274,mercados
-77.1364287,-12.0539468,mercados
-77.13805538486952,-12.02147460022718,mercados
-77.13778660615867,-12.02152774719845,mercados
-77.1220108,-12.0441793,mercados
-77.1185010772004,-12.042580411632539,mercados
-77.1284905,-12.0555059,mercados
-77.12086289999999,-12.052807,mercados
-77.1025591,-12.043843299999999,mercados
-77.113535,-12.0017024,mercados
-77.11353127162512,-12.001700616586177,mercados
-77.0997106,-12.0272194,mercados
