precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 270,000|/inmueble/ebe0-9245-d04ab84b-b6cc4ee8f98-43fc|Departamento en  Pje. Del Bosque 1174, San Borja 15037, Perú|132.9m2|3|4|PE|San Borja, Lima|Lima Departamento|Pje. Del Bosque 1174, San Borja 15037, Perú|-12.089562701587575|-76.98509118039551
$ 111,125.08|/inmueble/86a-be94-e7a590b7-18f02ebfe739-4bf2|Departamento en  Magdalena Del Mar, Lima|72m2|3|2|PE|Magdalena del Mar, Lima|Lima Departamento||-12.0904161|-77.0700298
$ 298,600|/inmueble/fa4f-8a7e-661cef81-bbdcfa0d474a-42cc|Departamento en  Santa Cruz, Lima|125m2|3|4|PE|Santa Cruz, Miraflores, Lima|Lima Departamento||-12.1121584|-77.0455343
$ 193,000|/inmueble/bf29-b501-618a76d7-448ef2b36731-4c09|Departamento en  Cercado De Miraflores, Lima|90m2|3|2|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento||-12.1192274|-77.0292524
$ 98,302.95|/inmueble/13e6-9baa-e66beea3-1f092c68bae7-4386|Departamento en  Pueblo Libre, Lima|70m2|3|2|PE|Pueblo Libre, Lima|Lima Departamento||-12.083044|-77.06719380000001
$ 210,000|/inmueble/84b6-92d0-3ccbacdc-9bf52081f302-4ca8|Departamento en  Cercado De Miraflores, Lima|118m2|3|5|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento||-12.1218773|-77.03053899999999
$ 314,000|/inmueble/dba3-bf35-cc258a8a-61a204c9daac-4ffd|Departamento en  Cercado De Miraflores, Lima|134m2|3|4|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento||-12.1218773|-77.03053899999999
$ 67,127.59|/inmueble/33f9-81ec-67a940ba-6601698320cf-4134|Departamento en  Maranga, Lima|78m2|3|2|PE|Maranga, San Miguel, Lima|Lima Departamento||-12.0774344|-77.0934137
$ 109,000|/inmueble/2ad1-9381-1df6c903-2da58daa1fab-4dd0|Departamento en  Orrantia, Lima|45m2|1|2|PE|Orrantia, San Isidro, Lima|Lima Departamento||-12.1103189|-77.0467912
$ 164,927.72|/inmueble/b2cd-85c0-1aa0925c-477391deef7a-4544|Departamento en  Cercado De Miraflores, Lima|70m2|2|2|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento||-12.12046238700215|-77.02985667508544
$ 359,768|/inmueble/537647|Departamento en  Sor Tita 325, Santiago De Surco, Perú|225m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento|Sor Tita 325, Santiago De Surco, Perú|-12.1307977|-77.0085446
$ 230,000|/inmueble/483369|Departamento en  Barranco, Lima|83m2|3|3|PE|Barranco, Lima|Lima Departamento||-12.1411508|-77.0221186
$ 327,095|/inmueble/473315|Departamento en  Santa Cruz, Lima|130m2|3|3|PE|Santa Cruz, Miraflores, Lima|Lima Departamento||-12.1149584|-77.0328976
$ 200,000|/inmueble/1637-92d2-aa0f5f9f-f55e07dc5af0-4dba|Departamento en  Salaverry Et.2, Lima|84.23m2|3|2|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento||-12.0802588|-77.0477723
$ 150,000|/inmueble/489227|Departamento en  Pando, Lima|79m2|32|2|PE|Pando, San Miguel, Lima|Lima Departamento||-12.0839018|-77.0816962
$ 217,000|/inmueble/491444|Departamento en  Av De Los Ingenieros 199, Santiago De Surco, Perú|128m2|3|4|PE|Santiago de Surco, Lima|Lima Departamento|Av De Los Ingenieros 199, Santiago De Surco, Perú|-12.124292|-76.9751598
$ 157,888.12|/inmueble/554539|Departamento en  Cercado De Lima, Lima|69.88m2|1|2|PE|Cercado de Lima, Lima|Lima Departamento||-12.120784593304581|-77.03464513862305
$ 170,000|/inmueble/587044|Departamento en  Avenida Salaverry, Jesús María, Perú|83m2|2|3|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento|Avenida Salaverry, Jesús María, Perú|-12.0823436|-77.0455977
$ 223,000|/inmueble/457532|Departamento en  Av. José Pardo 570, Miraflores 15074, Perú|84m2|2|2|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento|Av. José Pardo 570, Miraflores 15074, Perú|-12.1189009|-77.0341842
$ 66,560|/inmueble/457663|Departamento en  Calle Las Cantutas, Santiago De Surco, Perú|42m2|1|1|PE|Santiago de Surco, Lima|Lima Departamento|Calle Las Cantutas, Santiago De Surco, Perú|-12.1280826|-76.9686419
$ 165,000|/inmueble/622368|Departamento en  Av. Juan De Aliaga 641, Magdalena Del Mar 15076, Perú|101m2|3|3|PE|Magdalena del Mar, Lima|Lima Departamento|Av. Juan De Aliaga 641, Magdalena Del Mar 15076, Perú|-12.0914193|-77.0588528
$ 231,310|/inmueble/531573|Departamento en  El Olivar, Lima|83m2|2|2|PE|El Olivar, San Isidro, Lima|Lima Departamento||-12.1080939|-77.0412519
$ 479,133|/inmueble/531434|Departamento en  El Olivar, Lima|239m2|2|2|PE|El Olivar, San Isidro, Lima|Lima Departamento||-12.106619389455958|-77.0346015439026
$ 117,041.11|/inmueble/577381|Departamento en  Av. Rivera Navarrete 726, San Isidro 15046, Perú|45.49m2|1|1|PE|Corpac, San Isidro, Lima|Lima Departamento|Av. Rivera Navarrete 726, San Isidro 15046, Perú|-12.094355837960125|-77.02666496190186
$ 221,000|/inmueble/619857|Departamento en  Urb La Floresta De Monterrico, Santiago De Surco, Perú|123m2|3|3|PE|Santiago de Surco, Lima|Lima Departamento|Urb La Floresta De Monterrico, Santiago De Surco, Perú|-12.116785|-76.97474729999999
$ 180,000|/inmueble/461012|Departamento en  Camacho, Lima|120m2|3|3|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0733251|-76.95194459999999
$ 295,000|/inmueble/435780|Departamento en  San Antonio, Lima|195m2|3|3|PE|San Antonio, Miraflores, Lima|Lima Departamento||-12.1202764|-77.01480389999999
$ 135,000|/inmueble/585132|Departamento en  Calle Víctor Alzamora, Surquillo, Perú|80m2|3|2|PE|Surquillo, Lima|Lima Departamento|Calle Víctor Alzamora, Surquillo, Perú|-12.1161404|-77.014543
$ 337,000|/inmueble/612423|Departamento en  Jose María Quiroga, Santiago De Surco, Perú|215m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento|Jose María Quiroga, Santiago De Surco, Perú|-12.117931313076319|-76.99364326894283
