precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 600,000|/inmueble/609499|Terreno en  Av La Encalada, Santiago De Surco, Lima, Perú||||PE|Santiago de Surco, Lima|Lima Departamento|Av La Encalada, Santiago De Surco, Lima, Perú|-12.104926|-76.9707944
$ 50,000|/inmueble/586036|Terreno en  Condominio El Polo, Antigua Panamericana Sur, Santa Cruz De Flores, Perú||||PE|Santa Cruz De Flores, Cañete|Lima Departamento|Condominio El Polo, Antigua Panamericana Sur, Santa Cruz De Flores, Perú|-12.5867089|-76.66007560000001
$ 699,000|/inmueble/574669|Terreno en  Pando, Lima||||PE|Pando, San Miguel, Lima|Lima Departamento||-12.0906279|-77.0797693
$ 80,000|/inmueble/553321|Terreno en  Mala Gardens, Lm-855, Perú||||PE|Mala, Cañete|Lima Departamento|Mala Gardens, Lm-855, Perú|-12.6945967|-76.614948
$ 65,000|/inmueble/569836|Terreno en  Chosica, Lima||||PE|Chosica, Lima|Lima Departamento||-11.996932724815077|-76.87327988786622
$ 16,340.51|/inmueble/553745|Terreno en  Puente Piedra, Lima||||PE|Puente Piedra, Lima|Lima Departamento||-11.8225277|-77.10033229999999
$ 7,541.77|/inmueble/618255|Terreno en  Santa Cruz De Asia, Asia, Perú||||PE|Asia, Cañete|Lima Departamento|Santa Cruz De Asia, Asia, Perú|-12.7578087|-76.60011120000001
$ 6,284.81|/inmueble/595519|Terreno en  Santa Rosa De Asia, Asia, Cañete, Perú||||PE|Asia, Cañete|Lima Departamento|Santa Rosa De Asia, Asia, Cañete, Perú|-12.7655588|-76.5322043
$ 1,759.75|/inmueble/571951|Terreno en  San Vicente De Cañete, Perú||||PE|San Vicente De Cañete, Cañete|Lima Departamento|San Vicente De Cañete, Perú|-13.0764767|-76.3848832
$ 79,000|/inmueble/2447-b9c0-f8f5b612-43edd0805708-47ff|Terreno en  Quilmaná, Perú||||PE|Quilmana, Cañete|Lima Departamento|Quilmaná, Perú|-12.9406805|-76.39845369999999
